Total processors available: 24
Threads, Nodes, Volume, Max Megacalcs, Ave Megacalcs
1, 100, 24.809568, 13.620669, 13.587503
1, 500, 25.211383, 13.586368, 13.558492
1, 1000, 25.261909, 14.194856, 13.929166
1, 5000, 25.302379, 14.220306, 13.960199
2, 100, 24.809568, 27.115651, 26.703976
2, 500, 25.211383, 27.758734, 26.214905
2, 1000, 25.261909, 27.190488, 24.126615
2, 5000, 25.302379, 27.225992, 27.170193
4, 100, 24.809568, 53.971521, 53.002548
4, 500, 25.211383, 54.380750, 52.863017
4, 1000, 25.261909, 54.382838, 53.280640
4, 5000, 25.302379, 54.409081, 53.857619
8, 100, 24.809568, 105.095707, 85.459804
8, 500, 25.211383, 108.641024, 87.572888
8, 1000, 25.261909, 108.198002, 61.240399
8, 5000, 25.302379, 108.654619, 104.389430
16, 100, 24.809568, 113.237627, 110.014054
16, 500, 25.211383, 120.624765, 118.800432
16, 1000, 25.261909, 120.361771, 118.888513
16, 5000, 25.302379, 120.744880, 109.670698
24, 100, 24.809568, 4.959693, 2.628181
24, 500, 25.211383, 54.380045, 33.953062
24, 1000, 25.261909, 64.527568, 44.187881
24, 5000, 25.302379, 105.550542, 80.389214
