Total processors available: 24

1 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 83.34, 81.12
1, 82.88, 79.77
2, 68.00, 66.50
3, 76.30, 74.19
4, 69.44, 68.39
5, 67.28, 66.08
6, 80.78, 79.45
7, 74.90, 73.16
8, 67.54, 67.31
9, 69.74, 68.27
10, 68.15, 66.87
11, 67.01, 65.51
12, 64.10, 63.52
13, 81.05, 79.47
14, 67.91, 67.33
15, 75.00, 74.07

1 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12
0, 90.35, 90.12

2 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 84.91, 81.92
1, 87.66, 86.30
2, 73.40, 73.12
3, 81.88, 80.99
4, 74.99, 74.66
5, 93.87, 93.62
6, 102.96, 102.04
7, 151.20, 146.64
8, 133.76, 133.58
9, 133.76, 133.48
10, 126.21, 125.66
11, 134.12, 130.79
12, 128.77, 128.44
13, 147.69, 147.20
14, 132.20, 132.12
15, 150.61, 146.24

2 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05
0, 170.30, 170.05

4 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 82.28, 80.51
1, 86.49, 82.54
2, 74.05, 72.93
3, 84.01, 61.05
4, 75.29, 72.82
5, 98.00, 95.07
6, 105.06, 103.25
7, 148.92, 105.62
8, 94.92, 56.14
9, 151.88, 107.15
10, 111.75, 86.86
11, 146.38, 117.60
12, 134.78, 131.63
13, 152.46, 139.46
14, 144.55, 138.75
15, 292.48, 288.99

4 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84
0, 361.21, 358.84

8 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 82.46, 77.51
1, 87.48, 85.64
2, 74.87, 73.34
3, 84.52, 65.83
4, 79.26, 75.84
5, 98.11, 91.95
6, 106.99, 105.71
7, 147.87, 107.95
8, 142.65, 116.57
9, 118.39, 115.41
10, 134.07, 132.17
11, 144.01, 133.45
12, 133.87, 132.42
13, 151.61, 139.38
14, 138.52, 137.46
15, 293.45, 290.52

8 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03
0, 359.04, 357.03



