Total processors available: 24
1 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 84.10, 79.61
1, 82.50, 81.89
2, 68.18, 67.64
3, 80.57, 79.94
4, 70.51, 67.74
5, 68.25, 65.34
6, 82.40, 81.83
7, 76.62, 75.22
8, 70.51, 68.70
9, 70.62, 70.30
10, 69.57, 67.89
11, 68.14, 65.02
12, 67.10, 66.47
13, 82.29, 81.92
14, 69.06, 67.87
15, 77.15, 75.61

1 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 90.64, 89.95
2 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 86.95, 85.22
1, 85.63, 83.74
2, 73.47, 72.18
3, 80.97, 80.70
4, 75.11, 73.09
5, 94.41, 91.75
6, 103.41, 102.68
7, 147.76, 146.68
8, 133.74, 133.55
9, 139.29, 133.75
10, 129.64, 129.31
11, 136.05, 127.48
12, 134.02, 122.98
13, 164.71, 158.37
14, 132.41, 132.11
15, 153.18, 148.68

2 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 177.23, 171.71
4 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 54.68, 47.78
1, 82.81, 54.15
2, 74.17, 72.27
3, 85.41, 84.32
4, 75.34, 74.32
5, 98.20, 97.56
6, 107.14, 105.01
7, 110.75, 81.47
8, 116.25, 87.52
9, 119.76, 107.23
10, 157.85, 117.42
11, 110.96, 74.76
12, 135.11, 131.08
13, 128.72, 79.65
14, 145.28, 122.56
15, 292.45, 272.47

4 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.41, 330.94
6 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 55.03, 50.72
1, 86.65, 75.81
2, 74.93, 64.60
3, 85.29, 84.21
4, 75.31, 75.02
5, 98.28, 97.70
6, 104.14, 103.33
7, 131.89, 119.39
8, 122.74, 106.58
9, 120.49, 115.91
10, 133.98, 128.89
11, 135.17, 128.71
12, 133.90, 124.07
13, 140.04, 135.87
14, 139.34, 135.12
15, 294.00, 289.29

6 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.51, 331.92
8 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 81.74, 59.10
1, 86.67, 67.05
2, 74.47, 74.08
3, 84.76, 75.39
4, 75.32, 74.92
5, 98.19, 80.95
6, 107.13, 106.56
7, 120.64, 120.38
8, 119.66, 118.40
9, 120.62, 116.37
10, 140.53, 120.14
11, 136.71, 134.61
12, 134.69, 133.09
13, 151.43, 138.48
14, 139.94, 137.93
15, 295.05, 286.03

8 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.56, 334.53
10 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 81.48, 63.23
1, 87.33, 54.82
2, 74.39, 73.04
3, 85.23, 84.71
4, 75.29, 75.02
5, 98.29, 97.97
6, 107.09, 106.39
7, 120.77, 119.86
8, 117.63, 116.55
9, 122.22, 116.44
10, 133.73, 109.38
11, 142.65, 134.62
12, 133.77, 132.00
13, 143.98, 138.76
14, 140.36, 137.35
15, 292.55, 285.79

10 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.03, 337.34
12 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 81.30, 56.73
1, 72.50, 72.18
2, 74.62, 73.99
3, 84.75, 53.02
4, 79.14, 77.19
5, 99.50, 98.01
6, 104.29, 91.41
7, 120.68, 119.31
8, 129.83, 101.79
9, 69.91, 60.46
10, 133.77, 131.23
11, 142.31, 139.69
12, 134.47, 132.80
13, 147.44, 102.05
14, 144.06, 139.73
15, 291.69, 289.23

12 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 338.54, 337.48
14 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 82.27, 81.84
1, 87.39, 87.23
2, 74.14, 53.75
3, 74.96, 51.53
4, 77.80, 67.99
5, 96.48, 95.39
6, 62.48, 60.60
7, 122.53, 117.89
8, 119.96, 113.70
9, 93.67, 62.53
10, 134.80, 131.77
11, 139.41, 121.43
12, 133.84, 115.05
13, 144.45, 143.70
14, 143.98, 140.09
15, 293.18, 290.87

14 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 338.53, 329.89
16 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 83.32, 82.47
1, 87.34, 85.41
2, 74.64, 53.91
3, 85.19, 84.42
4, 75.36, 72.91
5, 97.87, 94.35
6, 106.97, 103.72
7, 119.32, 118.30
8, 117.32, 116.70
9, 114.10, 62.01
10, 141.33, 116.84
11, 134.51, 123.97
12, 131.82, 118.34
13, 120.70, 117.37
14, 115.51, 108.90
15, 303.52, 302.89

16 Threads, Fix #2NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 338.49, 318.35



