Total processors available: 24

1 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 78.88, 77.52
1, 78.43, 76.75
2, 68.06, 67.02
3, 77.06, 75.74
4, 67.59, 67.47
5, 68.25, 65.85
6, 82.36, 81.17
7, 78.60, 76.14
8, 70.57, 70.20
9, 70.56, 67.77
10, 73.34, 70.43
11, 68.09, 65.52
12, 67.21, 66.57
13, 82.37, 81.88
14, 69.12, 68.83
15, 76.92, 76.27

1 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 90.79, 90.15

2 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 85.64, 58.91
1, 86.10, 86.07
2, 74.65, 74.41
3, 82.86, 82.57
4, 76.05, 75.94
5, 94.91, 94.69
6, 103.90, 89.33
7, 147.85, 146.91
8, 133.87, 133.71
9, 133.75, 133.52
10, 129.54, 128.84
11, 130.47, 130.39
12, 128.27, 127.82
13, 157.73, 157.63
14, 133.70, 133.45
15, 147.83, 146.80

2 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 170.03, 169.54

4 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 81.98, 56.98
1, 86.65, 56.63
2, 74.08, 51.79
3, 54.26, 50.33
4, 48.07, 45.73
5, 96.61, 63.31
6, 98.28, 93.69
7, 118.68, 80.60
8, 116.44, 66.19
9, 117.68, 79.81
10, 135.30, 131.56
11, 136.26, 129.92
12, 127.50, 114.48
13, 122.61, 98.56
14, 75.61, 62.34
15, 294.30, 291.71

4 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.90, 338.63

6 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 54.31, 50.49
1, 87.36, 75.71
2, 74.61, 50.87
3, 84.18, 56.00
4, 77.94, 54.46
5, 97.41, 97.01
6, 106.78, 100.16
7, 120.42, 97.24
8, 121.22, 75.81
9, 119.90, 72.37
10, 107.67, 101.03
11, 135.79, 106.20
12, 130.56, 110.19
13, 141.42, 116.18
14, 116.64, 63.42
15, 293.26, 289.81

6 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.28, 338.61

8 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 81.95, 60.95
1, 86.64, 54.27
2, 74.12, 53.53
3, 54.80, 45.25
4, 47.99, 46.29
5, 97.62, 69.72
6, 97.54, 82.32
7, 147.87, 84.37
8, 117.00, 108.04
9, 118.57, 76.67
10, 129.54, 96.30
11, 134.63, 118.37
12, 131.38, 110.60
13, 144.33, 135.15
14, 142.07, 139.54
15, 292.16, 286.83

8 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.45, 336.71

10 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 68.61, 64.45
1, 86.93, 67.26
2, 46.32, 44.01
3, 84.80, 73.01
4, 75.31, 71.00
5, 97.67, 94.84
6, 98.34, 96.74
7, 81.95, 66.74
8, 116.48, 74.96
9, 138.25, 98.13
10, 129.87, 120.27
11, 123.61, 89.29
12, 130.46, 110.86
13, 136.06, 122.68
14, 124.64, 94.47
15, 293.17, 291.04

10 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 339.15, 337.49

12 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 82.27, 61.14
1, 57.38, 52.73
2, 74.01, 60.11
3, 85.64, 75.06
4, 79.02, 65.07
5, 96.83, 89.12
6, 103.76, 101.61
7, 122.42, 98.24
8, 115.66, 96.46
9, 118.35, 79.35
10, 134.65, 130.81
11, 150.79, 130.25
12, 133.19, 131.24
13, 141.89, 139.86
14, 123.11, 114.13
15, 293.23, 290.00

12 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 338.46, 336.27

14 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 81.49, 56.54
1, 86.61, 74.66
2, 74.20, 71.94
3, 84.98, 65.30
4, 77.92, 57.36
5, 98.16, 95.26
6, 106.85, 101.66
7, 119.67, 79.04
8, 115.41, 70.09
9, 75.02, 59.78
10, 129.88, 127.35
11, 154.44, 108.95
12, 114.64, 111.74
13, 120.71, 119.62
14, 139.89, 116.49
15, 294.64, 291.27

14 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 338.88, 335.37

16 Threads, Fix #1
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 81.87, 55.87
1, 87.32, 72.08
2, 74.90, 49.41
3, 48.52, 45.84
4, 48.60, 46.98
5, 98.76, 94.40
6, 104.70, 99.51
7, 80.46, 67.72
8, 115.06, 83.68
9, 115.30, 69.52
10, 130.29, 127.47
11, 134.53, 117.70
12, 131.59, 122.70
13, 122.81, 121.74
14, 139.59, 132.44
15, 293.60, 291.58

16 Threads, Fix #2
NUMPAD, Peak Mega Adds, Ave Mega Adds
0, 338.54, 335.55



