Speedup Data (C++ Speed / SIMD SSE Speed)
SIMD SSE Multiplication vs C++ Multiplication
Array Size,Peak Speedup,Average Speedup
1000,8.01012421,7.12936735
16000,8.31847668,8.30053616
31000,6.95779753,6.98972178
46000,6.67352581,6.65832186
61000,6.55697823,6.35760021
76000,6.74327660,6.74379158
91000,6.64963436,6.66081476
100000,6.72096968,6.72365379
200000,6.74334431,6.73390388
300000,6.20345068,11.61164474
400000,6.36574078,6.34540749
500000,6.36797714,9.86585903
600000,6.25023746,8.73318291
700000,6.34483147,6.22100258
800000,6.27730894,8.36951351
900000,3.38442945,4.05815125
1000000,5.73400307,7.87505627
2000000,3.90135527,3.69350123
5000000,4.08004427,3.99134183
8000000,3.96699905,3.95191288
11000000,4.01921368,4.24400234
14000000,3.86613083,3.76220369
17000000,3.93584275,3.74808860
20000000,4.09787321,4.43109560
23000000,3.89954591,3.72429419
26000000,3.97990012,3.86783934
29000000,3.82111263,3.78594422
32000000,3.89092016,3.95881438
SIMD SSE Multiplication/Reduction vs C++ Multiplication/Reduction
Array Size,Peak Speedup,Average Speedup
1000,7.94956112,7.97139120
16000,8.16829681,7.71766758
31000,7.97354746,7.96417141
46000,8.13254738,8.14693451
61000,7.98096323,7.98709345
76000,8.08329773,8.08853245
91000,7.97318172,7.97782898
100000,8.13980198,8.12942123
200000,8.13618755,8.10097122
300000,8.09165096,8.52737427
400000,8.12397957,8.57762909
500000,8.33076000,13.35560799
600000,8.02430916,9.32638836
700000,7.97354221,9.06085968
800000,7.99251986,7.84585810
900000,8.01792336,11.26945400
1000000,7.98323250,10.74511909
2000000,6.45993948,6.14123774
5000000,6.18209362,6.02120638
8000000,6.13154268,6.09954166
11000000,6.14573574,6.13001490
14000000,6.04484797,6.19104958
17000000,6.06851435,5.92812395
20000000,6.14386749,5.73372984
23000000,6.05084848,6.13382816
26000000,6.14023304,6.26168966
29000000,6.14787006,5.62224531
32000000,6.11495972,5.39028025
