Threads,Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1,388.558298,388.300403
Index,Sum
0,1148676.250000
1,53185.105469
2,67181.578125
3,52135.949219
4,45437.363281
5,53552.265625
6,69232.054688
7,60377.933594
8,52751.640625
9,64942.863281
10,57681.625000
11,55733.609375
12,64919.988281
13,55214.132812
14,66260.117188
15,53664.203125
16,61101.023438
17,60268.398438
18,56868.546875
19,58167.164062
20,48982.269531
21,50313.113281
22,51926.375000
23,55920.902344
24,40470.539062
25,45473.609375
26,41750.410156
27,48448.531250
28,34757.070312
29,56272.406250
30,40708.738281
31,28854.837891
32,30106.697266
33,29928.173828
34,39107.160156
35,29363.531250
36,20468.742188
37,39045.035156
38,21845.316406
39,21911.533203
40,23962.371094
41,22824.951172
42,24288.289062
43,24260.214844
44,19128.314453
45,11907.767578
46,18085.771484
47,13963.747070
48,23184.671875
49,15028.032227
50,22688.101562
51,881.544189
52,6230.131348
53,-1860.702881
54,2759.430420
55,-1197.398315
56,-11174.791016
57,-11476.467773
58,-512.817993
59,-19492.835938
60,-6232.022949
61,-12365.059570
62,-12251.157227
63,-19695.017578
64,-13457.500000
65,-23919.277344
66,-24459.763672
67,-27000.955078
68,-27252.966797
69,-19609.050781
70,-15920.115234
71,-28997.910156
72,-25466.830078
73,-19769.533203
74,-34929.941406
75,-31570.365234
76,-41675.398438
77,-43563.953125
78,-38438.992188
79,-34191.894531
80,-47888.339844
81,-49453.597656
82,-34976.667969
83,-54747.492188
84,-55944.722656
85,-51536.003906
86,-43619.347656
87,-40174.523438
88,-52694.488281
89,-46674.226562
90,-56267.156250
91,-47637.382812
92,-52278.042969
93,-55383.347656
94,-52627.929688
95,-48374.835938
96,-60636.105469
97,-50312.308594
98,-48890.582031
99,-51302.613281
100,-50812.101562
101,-55483.445312
102,-64674.320312
103,-53008.343750
104,-57851.449219
105,-54828.777344
106,-55817.226562
107,-65209.800781
108,-64544.402344
109,-65559.937500
110,-68940.046875
111,-59783.507812
112,-53604.382812
113,-55936.125000
114,-64161.816406
115,-51322.980469
116,-65025.093750
117,-58155.882812
118,-52956.105469
119,-49942.195312
120,-60890.027344
121,-60276.335938
122,-52030.539062
123,-48117.460938
124,-61966.488281
125,-54262.195312
126,-63243.488281
127,-55297.777344
128,-42025.781250
129,-47397.343750
130,-40284.992188
131,-53048.867188
132,-54167.679688
133,-46036.382812
134,-44353.589844
135,-45391.847656
136,-48665.742188
137,-39379.464844
138,-44628.242188
139,-34752.449219
140,-37701.855469
141,-27355.439453
142,-31369.121094
143,-39549.460938
144,-26604.097656
145,-31523.535156
146,-21174.267578
147,-23891.849609
148,-17154.000000
149,-22705.607422
150,-19139.216797
151,-25712.863281
152,-20691.406250
153,-21063.101562
154,-16031.661133
155,-14620.268555
156,-4356.941406
157,-6778.948730
158,-10001.464844
159,-10610.926758
160,-10267.421875
161,-4675.120605
162,-2385.877930
163,3168.535889
164,2149.125000
165,5635.651367
166,10979.307617
167,14767.573242
168,7226.927246
169,14871.170898
170,8183.060547
171,19609.376953
172,18819.867188
173,19787.351562
174,18930.896484
175,21981.933594
176,23160.333984
177,34171.386719
178,23794.101562
179,19260.714844
180,29954.832031
181,32724.390625
182,26273.923828
183,31810.589844
184,42675.242188
185,29118.078125
186,25288.330078
187,37004.468750
188,44856.578125
189,40176.933594
190,43398.437500
191,47673.105469
192,54446.871094
193,46278.007812
194,49043.292969
195,56294.218750
196,58932.054688
197,54608.238281
198,52655.472656
199,60336.082031
200,47618.085938
201,53655.152344
202,54660.000000
203,53922.621094
204,60972.566406
205,61652.714844
206,58885.488281
207,55907.367188
208,57471.718750
209,51890.425781
210,64270.265625
211,72292.898438
212,60496.011719
213,61602.332031
214,58203.296875
215,57865.433594
216,66377.296875
217,59253.898438
218,63996.945312
219,62672.847656
220,57956.863281
221,58896.003906
222,63026.730469
223,67041.687500
224,54651.003906
225,61101.003906
226,63760.101562
227,65798.117188
228,56985.281250
229,62332.617188
230,51295.183594
231,58206.898438
232,54960.734375
233,53004.667969
234,44976.613281
235,53701.144531
236,48998.097656
237,43633.257812
238,48177.210938
239,41336.324219
240,50242.878906
241,38610.753906
242,44807.929688
243,44586.429688
244,45509.554688
245,42944.308594
246,43903.886719
247,42871.000000
248,35322.980469
249,36393.546875
250,27791.208984
251,28859.580078
252,16264.625977
253,22110.138672
254,31025.048828
255,26876.683594
256,22411.550781
257,22982.369141
258,7546.003418
259,14096.115234
260,14924.034180
261,13150.796875
262,18505.371094
263,17056.771484
264,13012.720703
265,1426.494385
266,1597.238647
267,742.155884
268,5387.393066
269,6618.889160
270,-8803.581055
271,-4525.659180
272,-6399.773926
273,2162.833008
274,-3805.872314
275,-8148.517578
276,-7133.979004
277,-5649.051758
278,-10966.744141
279,-24148.513672
280,-27785.382812
281,-15369.567383
282,-20488.751953
283,-20540.068359
284,-29086.460938
285,-23453.011719
286,-23498.708984
287,-26399.810547
288,-21386.027344
289,-40529.472656
290,-33203.859375
291,-31438.650391
292,-31854.255859
293,-38365.757812
294,-37496.113281
295,-38372.898438
296,-47440.789062
297,-34003.859375
298,-38368.906250
299,-52490.121094
300,-38654.199219
301,-55324.691406
302,-54117.351562
303,-45587.847656
304,-51095.726562
305,-54086.113281
306,-41348.796875
307,-55937.734375
308,-50944.894531
309,-61723.750000
310,-50600.585938
311,-53230.933594
312,-55634.789062
313,-55846.527344
314,-73190.203125
315,-59504.417969
316,-71347.625000
317,-52991.882812
318,-63681.027344
319,-54895.460938
320,-51697.105469
321,-60195.082031
322,-64592.636719
323,-66194.851562
324,-58887.789062
325,-68708.382812
326,-57187.089844
327,-60614.550781
328,-60443.265625
329,-62311.960938
330,-62396.617188
331,-60009.707031
332,-56077.304688
333,-50669.089844
334,-56312.605469
335,-60669.867188
336,-53610.875000
337,-52355.800781
338,-58132.761719
339,-50641.300781
340,-55894.187500
341,-54784.871094
342,-57650.367188
343,-57684.363281
344,-50313.726562
345,-51842.191406
346,-42474.019531
347,-49145.019531
348,-39604.699219
349,-43581.472656
350,-42683.519531
351,-42845.601562
352,-40302.925781
353,-39476.589844
354,-39001.128906
355,-31110.873047
356,-37562.066406
357,-34166.812500
358,-27200.943359
359,-35182.035156
360,-14576.163086
361,-25242.689453
362,-24715.037109
363,-24674.054688
364,-10146.927734
365,-25873.525391
366,-19353.757812
367,-21107.585938
368,-11271.676758
369,-17747.923828
370,-8686.352539
371,-15498.083984
372,-9750.340820
373,337.267517
374,-3910.313232
375,-1912.437256
376,-3774.863037
377,-9057.707031
378,7852.484375
379,11087.929688
380,4532.209961
381,12262.190430
382,7988.037109
383,14093.242188
384,3519.177246
385,15209.333008
386,11889.469727
387,13389.644531
388,26878.589844
389,19950.291016
390,28530.494141
391,30717.714844
392,28215.328125
393,31120.808594
394,26489.242188
395,33192.656250
396,29266.498047
397,29805.839844
398,27242.308594
399,29918.927734
400,31893.671875
401,44554.761719
402,41185.218750
403,37728.386719
404,44115.253906
405,41165.996094
406,62343.714844
407,44449.132812
408,36481.046875
409,48211.375000
410,48034.808594
411,54764.671875
412,42948.640625
413,48433.203125
414,66709.148438
415,51986.234375
416,58289.855469
417,59539.832031
418,58795.089844
419,60142.789062
420,65458.093750
421,58179.878906
422,53528.054688
423,74888.773438
424,58178.746094
425,63242.019531
426,67370.937500
427,58595.847656
428,65039.062500
429,67376.921875
430,55373.371094
431,54018.730469
432,69078.312500
433,58007.199219
434,47741.148438
435,58440.886719
436,56186.425781
437,75416.203125
438,54157.914062
439,68078.695312
440,62172.210938
441,62547.621094
442,63160.691406
443,61900.148438
444,52304.843750
445,52780.496094
446,53442.648438
447,60151.953125
448,62266.214844
449,53315.011719
450,54047.421875
451,59750.550781
452,44679.515625
453,60303.984375
454,44729.968750
455,49522.343750
456,41391.414062
457,39860.972656
458,43237.128906
459,46302.898438
460,44817.406250
461,35599.289062
462,36324.406250
463,28471.929688
464,39148.566406
465,27053.208984
466,30416.484375
467,40219.617188
468,24797.158203
469,28719.626953
470,21363.445312
471,10187.189453
472,18502.451172
473,25740.552734
474,16382.472656
475,24426.226562
476,23242.003906
477,20890.613281
478,12831.065430
479,14695.952148
480,759.708008
481,219.163116
482,5928.903320
483,2757.833984
484,-4880.407227
485,3528.151611
486,-4992.108887
487,489.704651
488,-1642.433960
489,-593.003540
490,-983.034546
491,-2474.793701
492,-7397.817383
493,-17440.511719
494,-31581.654297
495,-18343.035156
496,-18460.130859
497,-22484.789062
498,-32463.156250
499,-20879.900391
500,-24868.251953
501,-14849.877930
502,-29143.589844
503,-28081.500000
504,-27371.685547
505,-29216.005859
506,-48011.167969
507,-38381.449219
508,-32759.093750
509,-47014.679688
510,-25209.361328
511,-43290.832031
512,-40882.242188
513,-60043.234375
514,-35788.136719
515,-45786.500000
516,-41574.738281
517,-43474.843750
518,-34660.871094
519,-46834.222656
520,-47169.285156
521,-56981.863281
522,-60387.667969
523,-59774.972656
524,-57403.628906
525,-51157.546875
526,-48395.792969
527,-54235.820312
528,-64242.339844
529,-58565.738281
530,-54093.328125
531,-62838.898438
532,-51311.972656
533,-55669.828125
534,-58173.375000
535,-60170.648438
536,-60960.289062
537,-49560.843750
538,-56180.371094
539,-47351.097656
540,-59838.921875
541,-61318.953125
542,-63649.136719
543,-66967.906250
544,-67024.750000
545,-49470.554688
546,-58089.355469
547,-54942.257812
548,-50997.441406
549,-64156.675781
550,-56895.105469
551,-55454.074219
552,-66023.523438
553,-46902.746094
554,-61568.640625
555,-54457.640625
556,-61327.664062
557,-47902.718750
558,-55034.804688
559,-52768.804688
560,-56033.890625
561,-37243.851562
562,-40968.859375
563,-45908.285156
564,-51817.566406
565,-48924.058594
566,-50081.335938
567,-45001.093750
568,-37528.531250
569,-32380.207031
570,-36601.191406
571,-22559.152344
572,-28246.378906
573,-36189.246094
574,-48147.386719
575,-34955.863281
576,-26406.888672
577,-22010.177734
578,-25585.542969
579,-16349.272461
580,-13369.648438
581,-17854.687500
582,-16666.863281
583,-22238.390625
584,-26092.255859
585,-14812.691406
586,-22360.132812
587,-5981.156738
588,4762.871582
589,-2660.235840
590,-3637.379395
591,-718.173584
592,-4800.283691
593,-4332.587891
594,1641.884888
595,-3164.254395
596,4219.107422
597,7283.184570
598,11095.007812
599,3229.167236
600,10902.053711
601,18392.146484
602,18494.021484
603,25505.523438
604,9309.524414
605,20348.894531
606,31964.347656
607,22353.585938
608,21782.320312
609,35061.882812
610,36656.917969
611,21199.867188
612,36551.355469
613,24853.609375
614,34507.953125
615,38643.410156
616,37465.078125
617,39432.351562
618,31536.039062
619,49390.789062
620,46837.679688
621,44881.312500
622,46470.050781
623,45358.097656
624,42648.238281
625,47890.562500
626,57832.191406
627,53916.183594
628,46617.832031
629,49860.855469
630,45819.199219
631,54592.886719
632,53251.765625
633,51658.851562
634,47169.269531
635,54070.445312
636,48138.414062
637,54897.101562
