Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1803.031855,1801.559212
Index,Sum
0,-47.745602
1,20.109600
2,13.577400
3,-36.801903
4,-72.213303
5,-49.855999
6,-40.128002
7,-3.573900
8,-4.924800
9,-80.956802
10,-79.551300
11,-68.174698
12,-24.411200
13,-7.782400
14,-13.952000
15,-6.322000
16,-7.806800
17,27.256502
18,36.814503
19,53.085602
20,5.022400
21,-1.530800
22,2.456400
23,0.731400
24,-0.302100
25,4.582800
26,1.045200
27,1.180400
28,-17.705999
29,-12.304501
30,34.452599
31,-21.621601
32,-39.203999
33,67.320000
34,4.216000
35,-0.167400
36,0.297000
37,-2.739000
38,-16.434000
39,-68.046005
40,0.824800
41,-0.355200
42,-46.486801
43,-15.495601
44,-2.027600
45,12.699901
46,-56.917801
47,47.646400
48,-64.485603
49,98.473511
50,79.987503
51,67.432495
52,34.465500
53,7.141500
54,-2.856600
55,-1.780200
56,12.719399
57,67.245201
58,-0.545600
59,-0.308800
60,35.820797
61,4.547200
62,-1.994300
63,-31.379702
64,33.615601
65,-15.957601
66,-37.039200
67,-38.658398
68,17.113600
69,1.881600
70,-2.868600
71,-42.960701
72,-12.768700
73,-15.367100
74,-25.435200
75,35.750401
76,-26.387201
77,-2.628800
78,1.473400
79,-7.283599
80,-51.980797
81,-56.147198
82,-44.261200
83,-1.485800
84,0.834100
85,-20.150101
86,-23.133600
87,-4.183200
88,-1.518900
89,0.073200
90,-0.404400
91,64.400696
92,8.280999
93,-1.274000
94,-4.351200
95,-10.522799
96,-14.883600
97,-19.342400
98,26.395597
99,-37.536598
100,15.855600
101,-23.023199
102,-28.429199
103,35.178898
104,73.348396
105,-56.386002
106,-23.897501
107,2.014500
108,-2.412300
109,-44.461998
110,35.062000
111,-27.975000
112,-31.499998
113,-33.305996
114,-55.113499
115,-32.595501
116,4.971400
117,10.377399
118,-11.552199
119,-9.463600
120,32.481003
121,16.848000
122,-12.895999
123,13.671000
124,-28.709101
125,38.213699
126,-13.500999
127,17.181000
128,29.058300
129,18.127399
130,-24.465000
131,0.630000
132,-0.036000
133,1.392000
134,-21.529598
135,-10.022400
